Title,Title_link,list-card-price,list-card-type,Field2,Field1,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"673 Park Dr NE, Atlanta, GA",https://www.zillow.com/homedetails/673-Park-Dr-NE-Atlanta-GA-30306/35930716_zpid/,"$1,380,000",New construction,4 ba,5 bds,"4,217 sqft",,Single Family,2018,Forced air,Central,2 spaces,"8,102 sqft",$327,"$6,969"
"606 Stokeswood Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/606-Stokeswood-Ave-SE-Atlanta-GA-30316/14455895_zpid/,"$265,000",House for sale,1 ba,2 bds,"1,166 sqft","$253,068",Single Family,1935,Forced air,Central,Detached Garage,"8,712 sqft",$227,"$1,310"
"574 Boulevard Pl NE # 1, Atlanta, GA",https://www.zillow.com/homedetails/574-Boulevard-Pl-NE-1-Atlanta-GA-30308/2084619173_zpid/,"$979,900",New construction,5 ba,3 bds,"2,644 sqft",,Townhouse,2019,No Data,No Data,4 spaces,No Data,$371,"$5,198"
"574 Boulevard Pl NE # 3, Atlanta, GA",https://www.zillow.com/homedetails/574-Boulevard-Pl-NE-3-Atlanta-GA-30308/2084619169_zpid/,"$969,900",New construction,4 ba,3 bds,"2,557 sqft",,Townhouse,2019,No Data,No Data,4 spaces,No Data,$379,"$5,148"
"574 Boulevard Pl NE # 2, Atlanta, GA",https://www.zillow.com/homedetails/574-Boulevard-Pl-NE-2-Atlanta-GA-30308/2084619196_zpid/,"$959,900",New construction,4 ba,3 bds,"2,557 sqft",,Townhouse,2019,No Data,No Data,4 spaces,No Data,$375,"$5,097"
"574 Boulevard Pl NE # 4, Atlanta, GA",https://www.zillow.com/homedetails/574-Boulevard-Pl-NE-4-Atlanta-GA-30308/2084619194_zpid/,"$969,900",New construction,4 ba,3 bds,"2,557 sqft",,Townhouse,2019,No Data,No Data,4 spaces,No Data,$379,"$5,148"
"574 Boulevard Pl NE # 5, Atlanta, GA",https://www.zillow.com/homedetails/574-Boulevard-Pl-NE-5-Atlanta-GA-30308/2084619205_zpid/,"$979,900",New construction,4 ba,3 bds,"2,557 sqft",,Townhouse,2019,No Data,No Data,4 spaces,No Data,$383,"$5,198"
"133 Tye St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/133-Tye-St-SE-Atlanta-GA-30316/35862602_zpid/,"$548,500",For sale by owner,2 ba,2 bds,"1,250 sqft",,Single Family,1905,Forced air,Central,Off street,"7,919 sqft",$439,"$2,693"
"15 Daniel St SE # 1, Atlanta, GA",https://www.zillow.com/homedetails/15-Daniel-St-SE-1-Atlanta-GA-30312/2084640853_zpid/,"$549,900",New construction,3 ba,2 bds,"1,800 sqft","$529,885",Townhouse,2019,Forced air,Central,No Data,No Data,$306,"$2,930"
"996 Custer Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/996-Custer-Ave-SE-Atlanta-GA-30316/2084670180_zpid/,"$609,000",New construction,4 ba,4 bds,"3,212 sqft","$590,998",Single Family,2019,Forced air,Central,Detached Garage,0.57 acres,$190,"$3,075"
"1675 Cecilia Dr SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1675-Cecilia-Dr-SE-Atlanta-GA-30316/14445294_zpid/,"$152,800",House for sale,1 ba,2 bds,"1,015 sqft","$149,683",Single Family,1950,Forced air,Other,1 space,0.3 acres,$151,$793
"910 Ponce De Leon Ave NE # 3, Atlanta, GA",https://www.zillow.com/homedetails/910-Ponce-De-Leon-Ave-NE-3-Atlanta-GA-30306/2084711008_zpid/,"$925,000",New construction,5 ba,4 bds,"3,057 sqft","$891,557",Townhouse,2019,Heat pump,Central,4 spaces,No Data,$303,"$4,871"
"910 Ponce De Leon Ave NE # 7, Atlanta, GA",https://www.zillow.com/homedetails/910-Ponce-De-Leon-Ave-NE-7-Atlanta-GA-30306/2084711153_zpid/,"$895,000",New construction,3 ba,3 bds,"2,371 sqft","$868,246",Townhouse,2019,Forced air,Central,4 spaces,No Data,$377,"$4,720"
"315 Josephine St NE, Atlanta, GA",https://www.zillow.com/homedetails/315-Josephine-St-NE-Atlanta-GA-30307/61918650_zpid/,"$799,000",New construction,3 ba,4 bds,"2,800 sqft","$785,028",Single Family,2019,Forced air,Central,2 spaces,"4,356 sqft",$285,"$4,062"
"543 Auburn Ave NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/543-Auburn-Ave-NE-Atlanta-GA-30312/65441382_zpid/,$--,Pre-foreclosure / Auction,3.5 ba,3 bds,"3,306 sqft",,Single Family,2004,Forced air,Central,2 spaces,1 acre,,$0
"877 Penn Ave NE, Atlanta, GA 30309",https://www.zillow.com/homedetails/877-Penn-Ave-NE-Atlanta-GA-30309/35880608_zpid/,"$775,000",House for sale,3 ba,3 bds,"2,944 sqft",,Single Family,1920,Forced air,Other,Off street,"6,011 sqft",$263,"$3,914"
"1099 Napier St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1099-Napier-St-SE-Atlanta-GA-30316/35891837_zpid/,"$389,000",House for sale,2 ba,4 bds,"1,750 sqft","$379,626",Single Family,1950,Forced air,Central,2 spaces,"10,018 sqft",$222,"$1,910"
"375 Ralph Mcgill Blvd NE APT 1107, Atlanta, GA 30312",https://www.zillow.com/homedetails/375-Ralph-Mcgill-Blvd-NE-APT-1107-Atlanta-GA-30312/65461274_zpid/,"Est. $120,102",Pre-foreclosure / Auction,1 ba,2 bds,882 sqft,"$120,102",Condo,1980,Forced air,Central,No Data,$271/month,,$890
"667 Juneberry Ln, Atlanta, GA",https://www.zillow.com/homedetails/667-Juneberry-Ln-Atlanta-GA-30316/2084886007_zpid/,"$539,000",New construction,3 ba,3 bds,"1,525 sqft","$522,606",Single Family,2019,Forced air,Central,1 space,No Data,$353,"$2,772"
"1145 Kirkwood Ave SE # 10, Atlanta, GA",https://www.zillow.com/homedetails/1145-Kirkwood-Ave-SE-10-Atlanta-GA-30316/2084906973_zpid/,"$569,900",New construction,5 ba,4 bds,"2,533 sqft",,Townhouse,2018,Forced air,Central,Attached Garage,No Data,$225,"$2,801"
"451 Atlanta Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/451-Atlanta-Ave-SE-Atlanta-GA-30315/35877177_zpid/,"$509,900",House for sale,3 ba,3 bds,"1,824 sqft","$497,515",Single Family,2018,Forced air,Central,2 spaces,"7,405 sqft",$280,"$2,504"
"2132 Memorial Dr SE, Atlanta, GA",https://www.zillow.com/homedetails/2132-Memorial-Dr-SE-Atlanta-GA-30317/14466148_zpid/,"$580,000",New construction,3 ba,4 bds,"2,508 sqft",,Single Family,2017,Forced air,Central,Detached Garage,0.3 acres,$231,"$2,870"
"658 Narrow Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/658-Narrow-Ave-SE-Atlanta-GA-30312/69344899_zpid/,"$384,900",House for sale,3 ba,3 bds,"1,224 sqft","$377,046",Single Family,2008,Forced air,Central,No Data,"2,003 sqft",$314,"$1,890"
"154 Dahlgren St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/154-Dahlgren-St-SE-Atlanta-GA-30317/14467706_zpid/,"$520,000",House for sale,2 ba,3 bds,"1,625 sqft",,Single Family,2019,"Forced air, Heat pump",Central,Attached Garage,"4,356 sqft",$320,"$2,571"
"1186 Vickers St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1186-Vickers-St-SE-Atlanta-GA-30316/35828943_zpid/,"$239,900",House for sale,3 ba,4 bds,"1,676 sqft","$234,798",Single Family,1988,Forced air,Central,No Data,"6,795 sqft",$143,"$1,237"
"1377 Ormewood Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1377-Ormewood-Ave-SE-Atlanta-GA-30316/14456084_zpid/,"$215,000",House for sale,1 ba,2 bds,"1,007 sqft","$206,094",Single Family,1940,Forced air,Other,No Data,"8,712 sqft",$214,"$1,116"
"28 Candler Rd NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/28-Candler-Rd-NE-Atlanta-GA-30317/14464769_zpid/,"$350,000",House for sale,2 ba,4 bds,"1,856 sqft","$353,225",Single Family,1945,Forced air,Central,2 spaces,0.3 acres,$189,"$1,730"
"194 Central Park Pl NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/194-Central-Park-Pl-NE-Atlanta-GA-30312/249120709_zpid/,"$650,000",Townhouse for sale,4 ba,3 bds,"2,709 sqft","$637,687",Townhouse,2016,Gas,No Data,2 spaces,"1,045 sqft",$240,"$3,532"
"2763 Memorial Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2763-Memorial-Dr-SE-Atlanta-GA-30317/14457855_zpid/,"$250,000",House for sale,2 ba,3 bds,"1,981 sqft","$242,376",Single Family,1947,Forced air,Central,Carport,"8,712 sqft",$126,"$1,297"
"22 Airline St # 404, Atlanta, GA",https://www.zillow.com/homedetails/22-Airline-St-404-Atlanta-GA-30312/2088423487_zpid/,"$629,900",New construction,2 ba,1 bd,"1,335 sqft",,Condo,2019,Heat pump,Central,2 spaces,$401/month,$472,"$3,582"
"22 Airline St # 101, Atlanta, GA",https://www.zillow.com/homedetails/22-Airline-St-101-Atlanta-GA-30312/2089454538_zpid/,"$448,900",New construction,1 ba,1 bd,974 sqft,,Condo,2019,Heat pump,Central,2 spaces,$368/month,$461,"$2,572"
"22 Airline St # 306, Atlanta, GA",https://www.zillow.com/homedetails/22-Airline-St-306-Atlanta-GA-30312/2088417426_zpid/,"$584,900",New construction,2 ba,2 bds,"1,172 sqft",,Condo,2019,Heat pump,Central,2 spaces,$352/month,$499,"$3,226"
"22 Airline St # 202, Atlanta, GA",https://www.zillow.com/homedetails/22-Airline-St-202-Atlanta-GA-30312/2089477745_zpid/,"$359,900",New construction,1 ba,1 bd,739 sqft,,Condo,2019,Heat pump,Central,2 spaces,$240/month,$487,"$2,007"
"22 Airline St # 201, Atlanta, GA",https://www.zillow.com/homedetails/22-Airline-St-201-Atlanta-GA-30312/2089454596_zpid/,"$589,900",New construction,2 ba,2 bds,"1,228 sqft","$573,854",Condo,2019,Heat pump,Central,2 spaces,$372/month,$480,"$3,271"
"644 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/644-Moreland-Ave-SE-Atlanta-GA-30316/14456247_zpid/,"$435,000",House for sale,2 ba,4 bds,"1,669 sqft","$420,499",Single Family,1920,Forced air,Central,4 spaces,"8,712 sqft",$261,"$2,151"
"814 Lullwater Rd NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/814-Lullwater-Rd-NE-Atlanta-GA-30307/14479520_zpid/,"$1,999,900",House for sale,5 ba,5 bds,"6,012 sqft","$1,911,644",Single Family,1927,Forced air,Central,Attached Garage,0.9 acres,$333,"$10,166"
"821 Ralph Mcgill Blvd NE APT 3415, Atlanta, GA 30306",https://www.zillow.com/homedetails/821-Ralph-Mcgill-Blvd-NE-APT-3415-Atlanta-GA-30306/82619777_zpid/,"$379,900",Condo for sale,2 ba,2 bds,"1,077 sqft","$369,524",Condo,2001,Forced air,Central,2 spaces,$327/month,$353,"$2,192"
"2386 Alston Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2386-Alston-Dr-SE-Atlanta-GA-30317/14457519_zpid/,"$479,000",House for sale,4 ba,5 bds,"2,607 sqft",,Single Family,1925,Other,Other,1 space,0.4 acres,$184,"$2,368"
"49 Krog St NE # 12, Atlanta, GA",https://www.zillow.com/homedetails/49-Krog-St-NE-12-Atlanta-GA-30307/2085371197_zpid/,"$1,055,900",New construction,5 ba,4 bds,"2,584 sqft","$1,023,006",Townhouse,2019,No Data,No Data,No Data,No Data,$409,"$5,332"
"1137 Saint Charles Pl NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1137-Saint-Charles-Pl-NE-Atlanta-GA-30306/35850949_zpid/,"Est. $569,787",Pre-foreclosure / Auction,2.5 ba,5 bds,"3,348 sqft","$569,787",Single Family,1912,Forced air,Central,Detached Garage,"6,943 sqft",,"$2,877"
"788 Marcus St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/788-Marcus-St-SE-Atlanta-GA-30316/69364642_zpid/,"Est. $287,738",Pre-foreclosure / Auction,-- ba,2 bds,"1,440 sqft","$287,738",Single Family,2004,Forced air,Central,No Data,871 sqft,,"$1,413"
"445 Robinson Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/445-Robinson-Ave-SE-Atlanta-GA-30315/35877221_zpid/,"$800,000",Make Me Move®,3 ba,4 bds,"1,830 sqft",,Single Family,1925,Forced air,Central,2 spaces,"8,751 sqft",$437,"$4,040"
"651 John Wesley Dobbs Ave NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/651-John-Wesley-Dobbs-Ave-NE-Atlanta-GA-30312/35860179_zpid/,"$900,000",Make Me Move®,2 ba,3 bds,"1,824 sqft",,Single Family,1930,Forced air,Central,2 spaces,"4,000 sqft",$493,"$4,545"
"124 Selman St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/124-Selman-St-SE-Atlanta-GA-30316/65440690_zpid/,$--,Pre-foreclosure / Auction,1 ba,2 bds,"1,064 sqft",,Single Family,2002,Forced air,Central,No Data,"3,484 sqft",,$0
"881 Memorial Dr SE UNIT 1001A, Atlanta, GA 30316",https://www.zillow.com/homedetails/881-Memorial-Dr-SE-UNIT-1001A-Atlanta-GA-30316/2085489242_zpid/,"$895,000",Condo for sale,1 ba,3 bds,"6,938 sqft","$859,200",Condo,1920,No Data,No Data,7 spaces,"$1,100/month",$129,"$5,620"
"1387 Summer Lane Dr SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1387-Summer-Lane-Dr-SE-Atlanta-GA-30316/69382574_zpid/,"$350,000",House for sale,4 ba,5 bds,"2,189 sqft","$343,099",Single Family,2005,Forced air,Central,2 spaces,"6,969 sqft",$160,"$1,772"
"176 Howard St NE, Atlanta, GA",https://www.zillow.com/homedetails/176-Howard-St-NE-Atlanta-GA-30317/14469104_zpid/,"$794,900",New construction,5 ba,5 bds,"4,236 sqft","$770,804",Single Family,2019,Forced air,Central,Detached Garage,"8,712 sqft",$188,"$4,041"
"1180 Vickers St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1180-Vickers-St-SE-Atlanta-GA-30316/35828944_zpid/,"$237,000",House for sale,3 ba,3 bds,"1,740 sqft","$230,699",Single Family,1988,Forced air,Central,1 space,"6,882 sqft",$136,"$1,222"
"1978 Terry Mill Rd SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1978-Terry-Mill-Rd-SE-Atlanta-GA-30316/14454893_zpid/,"$315,000",House for sale,2 ba,3 bds,"1,425 sqft","$310,212",Single Family,1949,Forced air,Central,4 spaces,0.4 acres,$221,"$1,557"
"443 Gartrell St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/443-Gartrell-St-SE-Atlanta-GA-30312/35878488_zpid/,"$499,000",Lot / Land for sale,,"6,098 sqft lot",,,,,,,,,,"$2,450"
"680 Greenwood Ave NE APT 203, Atlanta, GA 30306",https://www.zillow.com/homedetails/680-Greenwood-Ave-NE-APT-203-Atlanta-GA-30306/2086679191_zpid/,"$309,900",Condo for sale,1 ba,1 bd,888 sqft,"$298,620",Condo,2004,Heat pump,Central,2 spaces,$241/month,$349,"$1,763"
"274 Josephine St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/274-Josephine-St-NE-Atlanta-GA-30307/14468506_zpid/,"$559,900",House for sale,3 ba,3 bds,"1,800 sqft","$544,489",Single Family,2019,Forced air,Central,3 spaces,"4,199 sqft",$311,"$2,768"
"384 Ralph Mcgill Blvd NE UNIT 316, Atlanta, GA 30312",https://www.zillow.com/homedetails/384-Ralph-Mcgill-Blvd-NE-UNIT-316-Atlanta-GA-30312/2085772905_zpid/,"$163,900",Condo for sale,1 ba,1 bd,745 sqft,"$166,169",Condo,2006,Forced air,Central,No Data,$32/month,$220,$877
"2724 Kelly Lake Rd, Decatur, GA 30032",https://www.zillow.com/homedetails/2724-Kelly-Lake-Rd-Decatur-GA-30032/14444128_zpid/,"$575,000",House for sale,6 ba,9 bds,"2,870 sqft","$553,023",Single Family,1971,Forced air,Central,No Data,3.7 acres,$200,"$2,845"
"940 Mauldin St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/940-Mauldin-St-SE-Atlanta-GA-30316/35839038_zpid/,"$450,000",Lot / Land for sale,,"6,621 sqft lot",,,,,,,,,,"$2,210"
"75 Mayson Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/75-Mayson-Ave-NE-Atlanta-GA-30307/14468760_zpid/,$--,Pre-foreclosure / Auction,1 ba,3 bds,"1,162 sqft",,Single Family,1967,Other,Central,No Data,"3,484 sqft",,$0
"1164 Village Ct SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1164-Village-Ct-SE-Atlanta-GA-30316/65460593_zpid/,"$235,000",For sale by owner,1 ba,1 bd,900 sqft,"$219,383",Townhouse,2001,Forced air,Central,1 space,902 sqft,$261,"$1,437"
"1763 Russell St, Atlanta, GA 30316",https://www.zillow.com/homedetails/1763-Russell-St-Atlanta-GA-30316/87682166_zpid/,"$499,900",House for sale,3 ba,3 bds,"2,313 sqft","$491,469",Single Family,2017,Forced air,Central,4 spaces,0.4 acres,$216,"$2,512"
"131 Mcgill Park Ave NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/131-Mcgill-Park-Ave-NE-Atlanta-GA-30312/35878941_zpid/,"$164,875",Condo for sale,1 ba,1 bd,971 sqft,"$162,383",Condo,1994,Forced air,Central,2 spaces,$315/month,$170,"$1,165"
"760 Virginia Cir NE # A, Atlanta, GA",https://www.zillow.com/homedetails/760-Virginia-Cir-NE-A-Atlanta-GA-30306/2086035835_zpid/,"$1,374,999",New construction,5 ba,4 bds,"3,200 sqft","$1,339,350",Single Family,2018,Other,Other,No Data,"8,232 sqft",$430,"$6,944"
"371 Angier Ct NE # 17, Atlanta, GA 30312",https://www.zillow.com/homedetails/371-Angier-Ct-NE-17-Atlanta-GA-30312/2086062415_zpid/,"$519,900",House for sale,3 ba,3 bds,"1,797 sqft","$506,890",Single Family,1992,Forced air,Central,4 spaces,"4,356 sqft",$289,"$2,553"
"980 Todd Rd NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/980-Todd-Rd-NE-Atlanta-GA-30306/35895722_zpid/,"$800,000",House for sale,1 ba,3 bds,"1,541 sqft","$779,272",Single Family,1930,Heat pump,Central,Off street,"7,348 sqft",$519,"$4,040"
"42 Moda Ln, Atlanta, GA 30316",https://www.zillow.com/homedetails/42-Moda-Ln-Atlanta-GA-30316/2086200547_zpid/,"$312,800",Condo for sale,2 ba,2 bds,"1,000 sqft","$300,288",Condo,2017,Forced air,Central,2 spaces,$180/month,$313,"$1,716"
"673 Juneberry Ln, Atlanta, GA",https://www.zillow.com/homedetails/673-Juneberry-Ln-Atlanta-GA-30316/2086314020_zpid/,"$659,000",New construction,3 ba,4 bds,"2,273 sqft","$639,030",Single Family,2019,Forced air,Central,2 spaces,No Data,$290,"$3,478"
"507 Midtown Pl NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/507-Midtown-Pl-NE-Atlanta-GA-30308/35879942_zpid/,"Est. $284,041",Pre-foreclosure / Auction,2 ba,2 bds,"1,224 sqft","$284,041",Condo,1987,Forced air,Central,No Data,No Data,,"$1,395"
"1124 Dekalb Ave NE UNIT 25, Atlanta, GA 30307",https://www.zillow.com/homedetails/1124-Dekalb-Ave-NE-UNIT-25-Atlanta-GA-30307/55015971_zpid/,"Est. $325,755",Pre-foreclosure / Auction,2.5 ba,2 bds,"1,190 sqft","$325,755",Townhouse,1998,Forced air,Central,1 space,"1,307 sqft",,"$1,600"
"323 Edgewood Ave SE # B, Atlanta, GA 30312",https://www.zillow.com/homedetails/323-Edgewood-Ave-SE-B-Atlanta-GA-30312/2086347930_zpid/,"$650,000",Condo for sale,2 ba,2 bds,"2,350 sqft","$628,490",Condo,1910,Heat pump,Central,2 spaces,No Data,$277,"$3,282"
"327 Englewood Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/327-Englewood-Ave-SE-Atlanta-GA-30315/69345161_zpid/,"Est. $229,887",Pre-foreclosure / Auction,2.5 ba,3 bds,"2,130 sqft","$229,887",Single Family,2005,Forced air,"Central, Other",2 spaces,"8,001 sqft",,"$1,129"
"866 Marion Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/866-Marion-Ave-SE-Atlanta-GA-30312/35867885_zpid/,"Est. $222,201",Pre-foreclosure / Auction,1 ba,3 bds,912 sqft,"$222,201",Single Family,1930,Other,Central,No Data,"8,050 sqft",,"$1,091"
"147 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/147-Moreland-Ave-SE-Atlanta-GA-30316/35839307_zpid/,"$395,000",House for sale,1 ba,3 bds,"1,300 sqft","$381,785",Single Family,1935,Forced air,Central,Off street,"7,230 sqft",$304,"$1,940"
"141 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/141-Moreland-Ave-SE-Atlanta-GA-30316/35839306_zpid/,"$390,000",House for sale,1 ba,2 bds,989 sqft,"$375,405",Single Family,1935,Forced air,Central,No Data,"7,230 sqft",$394,"$1,915"
"574 Rosalia St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/574-Rosalia-St-SE-Atlanta-GA-30312/35878278_zpid/,"$469,000",House for sale,2 ba,3 bds,"1,432 sqft","$456,242",Single Family,1920,Forced air,Central,Off street,"4,007 sqft",$328,"$2,303"
"1002 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1002-Moreland-Ave-SE-Atlanta-GA-30316/14446459_zpid/,"$249,900",House for sale,1 ba,3 bds,"1,000 sqft","$243,250",Single Family,1942,Forced air,Central,3 spaces,0.3 acres,$250,"$1,297"
"442 Cain St NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/442-Cain-St-NE-Atlanta-GA-30312/88811926_zpid/,"$3,500,000",House for sale,5 ba,4 bds,"6,720 sqft",,Single Family,1998,Gas,"Central, Other",No Data,"5,662 sqft",$521,"$17,675"
"240 Carlyle Park Dr NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/240-Carlyle-Park-Dr-NE-Atlanta-GA-30307/70832920_zpid/,$--,Pre-foreclosure / Auction,2 ba,2 bds,"1,052 sqft",,Townhouse,2004,No Data,Central,Attached Garage,435 sqft,,$0
"715 Mcgill Park Ave NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/715-Mcgill-Park-Ave-NE-Atlanta-GA-30312/35878991_zpid/,"Est. $207,106",Pre-foreclosure / Auction,2 ba,2 bds,"1,418 sqft","$207,106",Condo,1995,Forced air,Central,No Data,$315/month,,"$1,332"
"788 Mercer St SE, Atlanta, GA",https://www.zillow.com/homedetails/788-Mercer-St-SE-Atlanta-GA-30312/249120834_zpid/,"$690,000",New construction,4 ba,4 bds,"2,710 sqft",,Single Family,2019,Forced air,Central,2 spaces,"8,537 sqft",$255,"$3,484"
"1280 Dahlgren Ln SE # 3, Atlanta, GA 30316",https://www.zillow.com/homedetails/1280-Dahlgren-Ln-SE-3-Atlanta-GA-30316/2087250333_zpid/,"$365,000",Townhouse for sale,4 ba,3 bds,"2,004 sqft",,Townhouse,2018,Other,Other,4 spaces,No Data,$182,"$1,814"
"1282 Dahlgren Ln SE # 2, Atlanta, GA 30316",https://www.zillow.com/homedetails/1282-Dahlgren-Ln-SE-2-Atlanta-GA-30316/2087251100_zpid/,"$365,000",Townhouse for sale,4 ba,3 bds,"2,004 sqft",,Townhouse,2018,Other,Other,4 spaces,No Data,$182,"$1,814"
"660 Glen Iris Dr NE APT 403, Atlanta, GA 30308",https://www.zillow.com/homedetails/660-Glen-Iris-Dr-NE-APT-403-Atlanta-GA-30308/2087324107_zpid/,"$349,900",Condo for sale,1 ba,1 bd,935 sqft,,Condo,2000,Forced air,Central,1 space,$305/month,$374,"$2,023"
"184 Clay St SE, Atlanta, GA",https://www.zillow.com/homedetails/184-Clay-St-SE-Atlanta-GA-30317/14466679_zpid/,"$659,000",New construction,4 ba,4 bds,"2,500 sqft",,Single Family,2019,Forced air,Central,1 space,"8,712 sqft",$264,"$3,350"
"881 Memorial Dr SE UNIT 1001, Atlanta, GA 30316",https://www.zillow.com/homedetails/881-Memorial-Dr-SE-UNIT-1001-Atlanta-GA-30316/2087561711_zpid/,"$1,300,000",Condo for sale,1 ba,3 bds,"9,413 sqft",,Condo,1920,Forced air,Central,No Data,"$1,493/month",$138,"$8,058"
"0 Ezzard St # 45, Atlanta, GA 30312",https://www.zillow.com/homedetails/0-Ezzard-St-45-Atlanta-GA-30312/2088043461_zpid/,"$350,000",Lot / Land for sale,,"2,047 sqft lot",,,,,,,,,,"$1,719"
"713 Moreland Ave SE # 1, Atlanta, GA",https://www.zillow.com/homedetails/713-Moreland-Ave-SE-1-Atlanta-GA-30316/2088168330_zpid/,"$539,000",New construction,4 ba,3 bds,"1,978 sqft",,Townhouse,2019,Heat pump,Central,2 spaces,"2,090 sqft",$272,"$2,672"
